Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY2R	KO15VS	1801	OZ6TY	559	559	JO55XE	CW	144	748	748	JO55	ScoredNoLog	
LY2R	KO15VS	1804	LY2J	599	599	KO14QL	CW	144	147	147		ScoredNoLog	
LY2R	KO15VS	1804	LY2VO	59	59	KO15PX	SSB	432	39	39	KO15		
LY2R	KO15VS	1806	LY2CH	59	59	KO15PX	SSB	432	0	0		NoWWL KO15OV	
LY2R	KO15VS	1807	LY3PEJ	59	59	KO15CL	SSB	432	105	105		ScoredNoLog	
LY2R	KO15VS	1809	ES2MC	599	599	KO29GG	CW	144	392	392	KO29	ScoredNoLog	
LY2R	KO15VS	1813	OH3DP	559	559	KP10TT	CW	144	561	561	KP10	ScoredNoLog	
LY2R	KO15VS	1815	YL2FZ	559	599	KO37QI	CW	1296	282	282	KO37		
LY2R	KO15VS	1818	SK4EA	559	559	JO79OO		432	664	664	JO79	ScoredNoLog	
LY2R	KO15VS	1818	SK6EI	599	599	JO68VK	CW	144	672	672	JO68	ScoredNoLog	
LY2R	KO15VS	1820	LY2WR	599	599	KO24FO	CW	144	137	137	KO24	ScoredNoLog	
LY2R	KO15VS	1822	SM5EPO	559	559	JP80MC		432	625	625	JP80	ScoredNoLog	
LY2R	KO15VS	1822	SM5PEO	559	559	JP80MC	CW	144	625	625	JP80	ScoredNoLog	
LY2R	KO15VS	1823	OH0A	59	59	KP00AF	SSB	144	543	543	KP00	ScoredNoLog	
LY2R	KO15VS	1827	SK7CY	59	55	JO65RJ	SSB	144	651	651		ScoredNoLog	
LY2R	KO15VS	1831	SK4EA	599	579	JO79OO	CW	144	664	664	JO79	ScoredNoLog	
LY2R	KO15VS	1833	YL2GD	599	599	KO37ML	CW	1296	275	275			
LY2R	KO15VS	1836	LY2NA	599	599	KO15JC	CW	432	98	98		ScoredNoLog	
LY2R	KO15VS	1838	OZ2AR	559	559	JO66EC	CW	144	712	712	JO66	ScoredNoLog	
LY2R	KO15VS	1840	SK0CT	599	559	JO99BM	CW	144	536	536		ScoredNoLog	
LY2R	KO15VS	1841	LY2BBF	599	599	KO24PR	CW	144	150	150			
LY2R	KO15VS	1843	SP8SN	559	599	KO11FI	CW	432	499	499	KO11	ScoredNoLog	
LY2R	KO15VS	1846	OH2AWU	55	55	KP20KI	SSB	144	514	514		ScoredNoLog	
